Term,Land Use,Definition
The Owner-initiated Acquisition Provisions,No,).
Timber Yard,,"Means a building or place the principal purpose of which is the sale of sawn, dressed or treated timber, wood fibre boards or similar timber products.It may include the cutting of such timber, boards or products to order and the sale of hardware, paint, tools and materials used in conjunction with the use and treatment of timber.Note— Timber yards are a type of retail premises—see the definition of that term in this Dictionary."
Tourist And Visitor Accommodation,,—see the definition of that term in this Dictionary.
Transport Depot,,"Means a building or place used for the parking or servicing of motor powered or motor drawn vehicles used in connection with a business, industry, shop or passenger or freight transport undertaking."
Truck Depot,,"Means a building or place used for the servicing and parking of trucks, earthmoving machinery and the like."
Turf Farming,,Means the commercial cultivation of turf for sale and the removal of turf for that purpose.Note— Turf farming is a type of intensive plant agriculture—see the definition of that term in this Dictionary.
Underground Mining,,"Means— (a) mining carried out beneath the earth’s surface, including bord and pillar mining, longwall mining, top-level caving, sub-level caving and auger mining, and (b) shafts, drill holes, gas and water drainage works, surface rehabilitation works and access pits associated with that mining (whether carried out on or beneath the earth’s surface), but does not include open cut mining."
Vehicle Body Repair Workshop,,"Means a building or place used for the repair of vehicles or agricultural machinery, involving body building, panel building, panel beating, spray painting or chassis restoration."
Vehicle Repair Station,,"Means a building or place used for the purpose of carrying out repairs to, or the selling and fitting of accessories to, vehicles or agricultural machinery, but does not include a vehicle body repair workshop or vehicle sales or hire premises."
Vehicle Sales Or Hire Premises,,"Means a building or place used for the display, sale or hire of motor vehicles, caravans, boats, trailers, agricultural machinery and the like, whether or not accessories are sold or displayed there.Note— Vehicle sales or hire premises are a type of retail premises—see the definition of that term in this Dictionary."
Veterinary Hospital,,"Means a building or place used for diagnosing or surgically or medically treating animals, whether or not animals are kept on the premises for the purpose of treatment."
Viticulture,,Means the cultivation of grapes for use in the commercial production of fresh or dried fruit or wine.Note— Viticulture is a type of intensive plant agriculture—see the definition of that term in this Dictionary.
Warehouse Or Distribution Centre,,"Means a building or place used mainly or exclusively for storing or handling items (whether goods or materials) pending their sale, but from which no retail sales are made, but does not include local distribution premises."
Waste Disposal Facility,,"Means a building or place used for the disposal of waste by landfill, incineration or other means, including such works or activities as recycling, resource recovery and other resource management activities, energy generation from gases, leachate management, odour control and the winning of extractive material to generate a void for disposal of waste or to cover waste after its disposal.Note— Waste disposal facilities are a type of waste or resource management facility—see the definition of that term in this Dictionary."
Waste Or Resource Management Facility,,—see the definition of that term in this Dictionary.
Waste Or Resource Transfer Station,,"Means a building or place used for the collection and transfer of waste material or resources, including the receipt, sorting, compacting, temporary storage and distribution of waste or resources and the loading or unloading of waste or resources onto or from road or rail transport.Note— Waste or resource transfer stations are a type of waste or resource management facility—see the definition of that term in this Dictionary."
Water Recreation Structure,,"Means a structure used primarily for recreational purposes that has a direct structural connection between the shore and the waterway, and may include a pier, wharf, jetty or boat launching ramp."
Water Recycling Facility,,"Means a building or place used for the treatment of sewage effluent, stormwater or waste water for use as an alternative supply to mains water, groundwater or river water (including, in particular, sewer mining works), whether the facility stands alone or is associated with other development, and includes associated— (a) retention structures, and (b) treatment works, and (c) irrigation schemes.Note— Water recycling facilities are a type of sewerage system—see the definition of that term in this Dictionary."
Water Reticulation System,,"Means a building or place used for the transport of water, including pipes, tunnels, canals, pumping stations, related electricity infrastructure and dosing facilities.Note— Water reticulation systems are a type of water supply system—see the definition of that term in this Dictionary."
Water Storage Facility,,"Means a dam, weir or reservoir for the collection and storage of water, and includes associated monitoring or gauging equipment.Note— Water storage facilities are a type of water supply system—see the definition of that term in this Dictionary."
Water Supply System,,—see the definition of that term in this Dictionary.
Water Treatment Facility,,"Means a building or place used for the treatment of water (such as a desalination plant or a recycled or reclaimed water plant) whether the water produced is potable or not, and includes residuals treatment, storage and disposal facilities, but does not include a water recycling facility.Note— Water treatment facilities are a type of water supply system—see the definition of that term in this Dictionary."
Waterbody,,Means a waterbody (artificial) or waterbody (natural).
Waterbody (artificial),,"Or artificial waterbody means an artificial body of water, including any constructed waterway, canal, inlet, bay, channel, dam, pond, lake or artificial wetland, but does not include a dry detention basin or other stormwater management construction that is only intended to hold water intermittently."
Waterbody (natural),,"Or natural waterbody means a natural body of water, whether perennial or intermittent, fresh, brackish or saline, the course of which may have been artificially modified or diverted onto a new course, and includes a river, creek, stream, lake, lagoon, natural wetland, estuary, bay, inlet or tidal waters (including the sea)."
Watercourse,,"Means any river, creek, stream or chain of ponds, whether artificially modified or not, in which water usually flows, either continuously or intermittently, in a defined bed or channel, but does not include a waterbody (artificial)."
Waterway,,"Means the whole or any part of a watercourse, wetland, waterbody (artificial) or waterbody (natural)."
Wetland,,"Means— (a) natural wetland, including marshes, mangroves, backwaters, billabongs, swamps, sedgelands, wet meadows or wet heathlands that form a shallow waterbody (up to 2 metres in depth) when inundated cyclically, intermittently or permanently with fresh, brackish or salt water, and where the inundation determines the type and productivity of the soils and the plant and animal communities, or (b) artificial wetland, including marshes, swamps, wet meadows, sedgelands or wet heathlands that form a shallow waterbody (up to 2 metres in depth) when inundated cyclically, intermittently or permanently with water, and are constructed and vegetated with wetland plant communities."
Wharf Or Boating Facilities,,"Means a wharf or any of the following facilities associated with a wharf or boating that are not port facilities— (a) facilities for the embarkation or disembarkation of passengers onto or from any vessels, including public ferry wharves, (b) facilities for the loading or unloading of freight onto or from vessels and associated receival, land transport and storage facilities, (c) wharves for commercial fishing operations, (d) refuelling, launching, berthing, mooring, storage or maintenance facilities for any vessel, (e) sea walls or training walls, (f) administration buildings, communication, security and power supply facilities, roads, rail lines, pipelines, fencing, lighting or car parks."
Wholesale Supplies,,"Means a building or place used for the display, sale or hire of goods or materials by wholesale only to businesses that have an Australian Business Number registered under the A New Tax System (Australian Business Number) Act 1999 of the Commonwealth."
